X,Y,Z
-44.4832,-25.2291,-0.0983
-43.9879,-26.0832,-0.0983
-43.4761,-26.9275,-0.0983
-42.9482,-27.7618,-0.0983
-42.4042,-28.5858,-0.0983
-41.8445,-29.3990,-0.0983
-41.2691,-30.2014,-0.0983
-40.6784,-30.9925,-0.0983
-40.0725,-31.7720,-0.0983
-39.4517,-32.5397,-0.0983
-38.8161,-33.2952,-0.0983
-38.1661,-34.0384,-0.0983
-37.5019,-34.7688,-0.0983
-36.8237,-35.4863,-0.0983
-36.1317,-36.1906,-0.0983
-35.4263,-36.8814,-0.0983
-34.7077,-37.5584,-0.0983
-33.9762,-38.2215,-0.0983
-33.2320,-38.8703,-0.0983
-32.4754,-39.5046,-0.0983
-31.7067,-40.1242,-0.0983
-30.9262,-40.7288,-0.0983
-30.1341,-41.3182,-0.0983
-29.3309,-41.8923,-0.0983
-28.5167,-42.4507,-0.0983
-27.6918,-42.9933,-0.0983
-26.8567,-43.5199,-0.0983
-26.0115,-44.0303,-0.0983
-25.1567,-44.5242,-0.0983
-24.2924,-45.0016,-0.0983
-23.4191,-45.4622,-0.0983
-22.5371,-45.9058,-0.0983
-21.6467,-46.3323,-0.0983
-20.7482,-46.7416,-0.0983
-19.8420,-47.1334,-0.0983
-18.9284,-47.5077,-0.0983
-18.0077,-47.8643,-0.0983
-17.0803,-48.2030,-0.0983
-16.1465,-48.5237,-0.0983
-15.2068,-48.8264,-0.0983
-14.2613,-49.1109,-0.0983
-13.3106,-49.3770,-0.0983
-12.3549,-49.6248,-0.0983
-11.3946,-49.8541,-0.0983
-10.4300,-50.0648,-0.0983
-9.4615,-50.2568,-0.0983
-8.4896,-50.4301,-0.0983
-7.5144,-50.5846,-0.0983
-6.5365,-50.7202,-0.0983
-5.5561,-50.8369,-0.0983
-4.5736,-50.9347,-0.0983
-3.5895,-51.0135,-0.0983
-2.6040,-51.0733,-0.0983
-1.6175,-51.1141,-0.0983
-0.6304,-51.1358,-0.0983
0.3569,-51.1384,-0.0983
1.3440,-51.1220,-0.0983
2.3307,-51.0865,-0.0983
3.3165,-51.0320,-0.0983
4.3011,-50.9585,-0.0983
5.2840,-50.8659,-0.0983
6.2650,-50.7544,-0.0983
7.2437,-50.6240,-0.0983
8.2196,-50.4748,-0.0983
9.1925,-50.3067,-0.0983
10.1620,-50.1198,-0.0983
11.1277,-49.9143,-0.0983
12.0892,-49.6902,-0.0983
13.0462,-49.4475,-0.0983
13.9984,-49.1865,-0.0983
14.9453,-48.9071,-0.0983
15.8867,-48.6094,-0.0983
16.8222,-48.2937,-0.0983
17.7514,-47.9599,-0.0983
18.6739,-47.6083,-0.0983
19.5895,-47.2389,-0.0983
20.4978,-46.8519,-0.0983
21.3985,-46.4475,-0.0983
22.2912,-46.0257,-0.0983
23.1756,-45.5868,-0.0983
24.0513,-45.1309,-0.0983
24.9181,-44.6582,-0.0983
25.7756,-44.1688,-0.0983
26.6235,-43.6630,-0.0983
27.4614,-43.1409,-0.0983
28.2892,-42.6027,-0.0983
29.1063,-42.0486,-0.0983
29.9127,-41.4789,-0.0983
30.7078,-40.8937,-0.0983
31.4916,-40.2932,-0.0983
32.2636,-39.6778,-0.0983
33.0236,-39.0475,-0.0983
33.7712,-38.4027,-0.0983
34.5063,-37.7436,-0.0983
35.2285,-37.0704,-0.0983
35.9376,-36.3834,-0.0983
36.6333,-35.6828,-0.0983
37.3153,-34.9690,-0.0983
37.9835,-34.2421,-0.0983
38.6374,-33.5024,-0.0983
39.2770,-32.7503,-0.0983
39.9019,-31.9859,-0.0983
40.5120,-31.2096,-0.0983
41.1070,-30.4217,-0.0983
41.6866,-29.6225,-0.0983
42.2507,-28.8122,-0.0983
42.7990,-27.9912,-0.0983
43.3314,-27.1597,-0.0983
43.8477,-26.3181,-0.0983
44.3476,-25.4667,-0.0983
44.8310,-24.6059,-0.0983
45.2976,-23.7358,-0.0983
45.7474,-22.8569,-0.0983
46.1801,-21.9695,-0.0983
46.5957,-21.0739,-0.0983
46.9938,-20.1704,-0.0983
47.3745,-19.2594,-0.0983
47.7374,-18.3412,-0.0983
48.0826,-17.4162,-0.0983
48.4099,-16.4848,-0.0983
48.7191,-15.5471,-0.0983
49.0102,-14.6037,-0.0983
49.2830,-13.6548,-0.0983
49.5374,-12.7009,-0.0983
49.7733,-11.7422,-0.0983
49.9907,-10.7791,-0.0983
50.1895,-9.8120,-0.0983
50.3696,-8.8413,-0.0983
50.5309,-7.8672,-0.0983
50.6734,-6.8902,-0.0983
50.7969,-5.9107,-0.0983
50.9016,-4.9289,-0.0983
50.9872,-3.9454,-0.0983
51.0539,-2.9603,-0.0983
51.1015,-1.9742,-0.0983
51.1301,-0.9873,-0.0983
51.1396,-0.0000,-0.0983
51.1396,-0.0000,-0.0983
51.1150,1.0218,-0.1002
51.0741,2.0427,-0.1016
51.0128,3.0624,-0.1030
50.9312,4.0805,-0.1044
50.8294,5.0965,-0.1058
50.7073,6.1101,-0.1072
50.5651,7.1209,-0.1086
50.4027,8.1285,-0.1100
50.2203,9.1324,-0.1114
50.0180,10.1322,-0.1128
49.7958,11.1277,-0.1142
49.5539,12.1183,-0.1156
49.2919,13.1036,-0.1171
49.0097,14.0830,-0.1187
48.7080,15.0565,-0.1203
48.3871,16.0235,-0.1219
48.0470,16.9838,-0.1235
47.6879,17.9368,-0.1251
47.3100,18.8823,-0.1267
46.9133,19.8199,-0.1283
46.4981,20.7492,-0.1300
46.0646,21.6698,-0.1316
45.6129,22.5815,-0.1332
45.1432,23.4837,-0.1348
44.6556,24.3762,-0.1365
44.1505,25.2586,-0.1381
43.6280,26.1306,-0.1397
43.0883,26.9918,-0.1414
42.5316,27.8419,-0.1430
41.9582,28.6806,-0.1447
41.3683,29.5075,-0.1463
40.7622,30.3223,-0.1480
40.1400,31.1247,-0.1496
39.5021,31.9143,-0.1513
38.8487,32.6909,-0.1530
38.1801,33.4542,-0.1546
37.4965,34.2038,-0.1563
36.7982,34.9395,-0.1580
36.0855,35.6610,-0.1596
35.3587,36.3680,-0.1613
34.6175,37.0607,-0.1630
33.8633,37.7366,-0.1649
33.0953,38.3976,-0.1667
32.3145,39.0431,-0.1686
31.5211,39.6727,-0.1705
30.7155,40.2863,-0.1723
29.8979,40.8835,-0.1742
29.0688,41.4642,-0.1761
28.2285,42.0282,-0.1780
27.3772,42.5751,-0.1799
26.5154,43.1048,-0.1818
25.6433,43.6171,-0.1836
24.7614,44.1119,-0.1855
23.8700,44.5888,-0.1874
22.9694,45.0477,-0.1893
22.0600,45.4886,-0.1912
21.1423,45.9110,-0.1932
20.2164,46.3151,-0.1951
19.2829,46.7004,-0.1970
18.3420,47.0671,-0.1989
17.3942,47.4147,-0.2008
16.4399,47.7434,-0.2027
15.4793,48.0529,-0.2047
14.5130,48.3430,-0.2066
13.5413,48.6138,-0.2085
12.5646,48.8651,-0.2105
11.5832,49.0969,-0.2124
10.5976,49.3089,-0.2143
9.6081,49.5012,-0.2163
8.6152,49.6731,-0.2183
7.6191,49.8248,-0.2205
