contactPntX,contactPntY,contactPntZ,normalX,normalY,normalZ,maxCurvature,maxCurvDirectionX,maxCurvDirectionY,maxCurvDirectionZ,minCurvature,minCurvDirectionX,minCurvDirectionY,minCurvDirectionZ,meanCurvature,GaussianCurvature,endOfRevolution(T/F)
53.1555,27.8849,-0.0550,-0.1163,-0.0610,0.9913,0.1575,0.8779,0.4605,0.1314,-0.0022,-0.4645,0.8855,0.0000,0.0776,-0.0003,0
52.6838,28.7666,-0.0550,-0.1153,-0.0629,0.9913,0.1575,0.8701,0.4751,0.1313,-0.0022,-0.4792,0.8777,0.0000,0.0776,-0.0003,0
52.1971,29.6402,-0.0550,-0.1142,-0.0649,0.9913,0.1575,0.8620,0.4895,0.1314,-0.0022,-0.4938,0.8696,0.0000,0.0776,-0.0003,0
51.6960,30.5056,-0.0550,-0.1131,-0.0668,0.9913,0.1575,0.8538,0.5038,0.1314,-0.0022,-0.5082,0.8612,0.0000,0.0776,-0.0003,0
51.1809,31.3627,-0.0550,-0.1120,-0.0686,0.9913,0.1575,0.8453,0.5180,0.1313,-0.0022,-0.5225,0.8526,0.0000,0.0776,-0.0003,0
50.6511,32.2108,-0.0550,-0.1109,-0.0705,0.9913,0.1575,0.8365,0.5320,0.1314,-0.0022,-0.5366,0.8438,0.0000,0.0776,-0.0003,0
50.1075,33.0501,-0.0550,-0.1097,-0.0723,0.9913,0.1575,0.8275,0.5458,0.1314,-0.0022,-0.5506,0.8348,0.0000,0.0776,-0.0003,0
49.5501,33.8804,-0.0550,-0.1084,-0.0741,0.9913,0.1575,0.8183,0.5595,0.1313,-0.0022,-0.5644,0.8255,0.0000,0.0776,-0.0003,0
48.9787,34.7010,-0.0550,-0.1072,-0.0759,0.9913,0.1575,0.8089,0.5731,0.1314,-0.0022,-0.5781,0.8160,0.0000,0.0776,-0.0003,0
48.3939,35.5121,-0.0550,-0.1059,-0.0777,0.9913,0.1575,0.7992,0.5865,0.1314,-0.0022,-0.5916,0.8062,0.0000,0.0776,-0.0003,0
47.7956,36.3134,-0.0550,-0.1046,-0.0795,0.9913,0.1575,0.7894,0.5997,0.1313,-0.0022,-0.6050,0.7963,0.0000,0.0776,-0.0003,0
47.1839,37.1045,-0.0550,-0.1033,-0.0812,0.9913,0.1575,0.7793,0.6128,0.1314,-0.0022,-0.6181,0.7861,0.0000,0.0776,-0.0003,0
46.5593,37.8854,-0.0550,-0.1019,-0.0829,0.9913,0.1575,0.7689,0.6257,0.1314,-0.0022,-0.6312,0.7757,0.0000,0.0776,-0.0003,0
45.9218,38.6558,-0.0550,-0.1005,-0.0846,0.9913,0.1575,0.7584,0.6384,0.1314,-0.0022,-0.6440,0.7650,0.0000,0.0776,-0.0003,0
45.2714,39.4154,-0.0550,-0.0991,-0.0863,0.9913,0.1575,0.7477,0.6510,0.1314,-0.0022,-0.6566,0.7542,0.0000,0.0776,-0.0003,0
44.6086,40.1642,-0.0550,-0.0976,-0.0879,0.9913,0.1575,0.7367,0.6633,0.1314,-0.0022,-0.6691,0.7432,0.0000,0.0776,-0.0003,0
43.9333,40.9017,-0.0550,-0.0961,-0.0895,0.9913,0.1575,0.7256,0.6755,0.1314,-0.0022,-0.6814,0.7319,0.0000,0.0776,-0.0003,0
43.2457,41.6278,-0.0550,-0.0947,-0.0911,0.9913,0.1575,0.7142,0.6875,0.1314,-0.0022,-0.6935,0.7205,0.0000,0.0776,-0.0003,0
42.5464,42.3426,-0.0550,-0.0931,-0.0926,0.9913,0.1575,0.7027,0.6993,0.1313,-0.0022,-0.7054,0.7088,0.0000,0.0776,-0.0003,0
41.8350,43.0454,-0.0550,-0.0916,-0.0942,0.9913,0.1575,0.6909,0.7109,0.1314,-0.0022,-0.7171,0.6970,0.0000,0.0776,-0.0003,0
41.1121,43.7363,-0.0550,-0.0900,-0.0957,0.9913,0.1575,0.6790,0.7223,0.1314,-0.0022,-0.7286,0.6849,0.0000,0.0776,-0.0003,0
40.3780,44.4153,-0.0550,-0.0883,-0.0972,0.9913,0.1575,0.6669,0.7335,0.1313,-0.0022,-0.7399,0.6727,0.0000,0.0776,-0.0003,0
39.6323,45.0816,-0.0550,-0.0867,-0.0987,0.9913,0.1575,0.6545,0.7445,0.1314,-0.0022,-0.7510,0.6603,0.0000,0.0776,-0.0003,0
38.8758,45.7356,-0.0550,-0.0851,-0.1001,0.9913,0.1575,0.6420,0.7553,0.1314,-0.0022,-0.7619,0.6477,0.0000,0.0776,-0.0003,0
38.1086,46.3770,-0.0550,-0.0834,-0.1015,0.9913,0.1575,0.6294,0.7659,0.1313,-0.0022,-0.7726,0.6349,0.0000,0.0776,-0.0003,0
37.3306,47.0052,-0.0550,-0.0817,-0.1029,0.9913,0.1575,0.6165,0.7763,0.1314,-0.0022,-0.7831,0.6219,0.0000,0.0776,-0.0003,0
36.5425,47.6207,-0.0550,-0.0800,-0.1042,0.9913,0.1575,0.6035,0.7865,0.1314,-0.0022,-0.7933,0.6088,0.0000,0.0776,-0.0003,0
35.7441,48.2228,-0.0550,-0.0782,-0.1055,0.9913,0.1575,0.5903,0.7964,0.1314,-0.0022,-0.8034,0.5955,0.0000,0.0776,-0.0003,0
34.9357,48.8115,-0.0550,-0.0765,-0.1068,0.9913,0.1575,0.5770,0.8061,0.1314,-0.0022,-0.8132,0.5820,0.0000,0.0776,-0.0003,0
34.1178,49.3868,-0.0550,-0.0747,-0.1081,0.9913,0.1575,0.5635,0.8156,0.1314,-0.0022,-0.8228,0.5684,0.0000,0.0776,-0.0003,0
33.2904,49.9483,-0.0550,-0.0729,-0.1093,0.9913,0.1575,0.5498,0.8249,0.1314,-0.0022,-0.8321,0.5546,0.0000,0.0776,-0.0003,0
32.4536,50.4958,-0.0550,-0.0710,-0.1105,0.9913,0.1575,0.5360,0.8339,0.1314,-0.0022,-0.8412,0.5407,0.0000,0.0776,-0.0003,0
31.6080,51.0296,-0.0550,-0.0692,-0.1117,0.9913,0.1575,0.5220,0.8428,0.1313,-0.0022,-0.8501,0.5266,0.0000,0.0776,-0.0003,0
30.7535,51.5490,-0.0550,-0.0673,-0.1128,0.9913,0.1575,0.5079,0.8513,0.1314,-0.0022,-0.8588,0.5123,0.0000,0.0776,-0.0003,0
29.8904,52.0541,-0.0550,-0.0654,-0.1139,0.9913,0.1575,0.4936,0.8597,0.1314,-0.0022,-0.8672,0.4980,0.0000,0.0776,-0.0003,0
29.0193,52.5451,-0.0550,-0.0635,-0.1150,0.9913,0.1575,0.4793,0.8678,0.1313,-0.0022,-0.8754,0.4834,0.0000,0.0776,-0.0003,0
28.1398,53.0210,-0.0550,-0.0616,-0.1160,0.9913,0.1575,0.4647,0.8757,0.1314,-0.0022,-0.8833,0.4688,0.0000,0.0776,-0.0003,0
27.2526,53.4824,-0.0550,-0.0596,-0.1170,0.9913,0.1575,0.4501,0.8833,0.1314,-0.0022,-0.8910,0.4540,0.0000,0.0776,-0.0003,0
26.3580,53.9291,-0.0550,-0.0577,-0.1180,0.9913,0.1575,0.4353,0.8907,0.1313,-0.0022,-0.8984,0.4391,0.0000,0.0776,-0.0003,0
25.4558,54.3605,-0.0550,-0.0557,-0.1190,0.9913,0.1575,0.4204,0.8978,0.1314,-0.0022,-0.9056,0.4241,0.0000,0.0776,-0.0003,0
24.5467,54.7771,-0.0550,-0.0537,-0.1199,0.9913,0.1575,-0.4054,-0.9047,-0.1314,-0.0022,-0.9126,0.4089,-0.0000,0.0776,-0.0003,0
23.6308,55.1785,-0.0550,-0.0517,-0.1207,0.9913,0.1575,-0.3903,-0.9113,-0.1314,-0.0022,-0.9192,0.3937,-0.0000,0.0776,-0.0003,0
22.7083,55.5644,-0.0550,-0.0497,-0.1216,0.9913,0.1575,-0.3750,-0.9177,-0.1314,-0.0022,-0.9257,0.3783,-0.0000,0.0776,-0.0003,0
21.7796,55.9351,-0.0550,-0.0477,-0.1224,0.9913,0.1575,-0.3597,-0.9238,-0.1314,-0.0022,-0.9319,0.3628,-0.0000,0.0776,-0.0003,0
20.8447,56.2901,-0.0550,-0.0456,-0.1232,0.9913,0.1575,-0.3443,-0.9296,-0.1314,-0.0022,-0.9378,0.3473,-0.0000,0.0776,-0.0003,0
19.9041,56.6294,-0.0550,-0.0436,-0.1239,0.9913,0.1575,-0.3287,-0.9352,-0.1314,-0.0022,-0.9434,0.3316,-0.0000,0.0776,-0.0003,0
18.9580,56.9534,-0.0550,-0.0415,-0.1246,0.9913,0.1575,-0.3131,-0.9406,-0.1313,-0.0022,-0.9488,0.3158,-0.0000,0.0776,-0.0003,0
18.0066,57.2611,-0.0550,-0.0394,-0.1253,0.9913,0.1575,-0.2974,-0.9457,-0.1314,-0.0022,-0.9539,0.3000,-0.0000,0.0776,-0.0003,0
