X,Y,Z
-15.6500,-51.1396,-0.0983
-14.6500,-51.1396,-0.0983
-13.6500,-51.1396,-0.0983
-12.6500,-51.1396,-0.0983
-11.6500,-51.1396,-0.0983
-10.6500,-51.1396,-0.0983
-9.6500,-51.1396,-0.0983
-8.6500,-51.1396,-0.0983
-7.6500,-51.1396,-0.0983
-6.6500,-51.1396,-0.0983
-5.6500,-51.1396,-0.0983
-4.6500,-51.1396,-0.0983
-3.6500,-51.1396,-0.0983
-2.6500,-51.1396,-0.0983
-1.6500,-51.1396,-0.0983
-0.6500,-51.1396,-0.0983
0.3500,-51.1396,-0.0983
1.3500,-51.1396,-0.0983
2.3500,-51.1396,-0.0983
3.3500,-51.1396,-0.0983
4.3500,-51.1396,-0.0983
5.3500,-51.1396,-0.0983
6.3500,-51.1396,-0.0983
7.3500,-51.1396,-0.0983
8.3500,-51.1396,-0.0983
9.3500,-51.1396,-0.0983
10.3500,-51.1396,-0.0983
11.3500,-51.1396,-0.0983
12.3500,-51.1396,-0.0983
13.3500,-51.1396,-0.0983
14.3500,-51.1396,-0.0983
15.3500,-51.1396,-0.0983
16.3500,-51.1396,-0.0983
17.3500,-51.1396,-0.0983
18.3500,-51.1396,-0.0983
19.3500,-51.1396,-0.0983
20.3500,-51.1396,-0.0983
21.3500,-51.1396,-0.0983
22.3500,-51.1396,-0.0983
23.3500,-51.1396,-0.0983
24.3500,-51.1396,-0.0983
25.3500,-51.1396,-0.0983
26.3500,-51.1396,-0.0983
27.3500,-51.1396,-0.0983
28.3500,-51.1396,-0.0983
29.3500,-51.1396,-0.0983
30.3500,-51.1396,-0.0983
31.3500,-51.1396,-0.0983
32.3500,-51.1396,-0.0983
33.3500,-51.1396,-0.0983
34.3500,-51.1396,-0.0983
35.3500,-51.1396,-0.0983
36.3500,-51.1396,-0.0983
37.3500,-51.1396,-0.0983
38.3500,-51.1396,-0.0983
39.3500,-51.1396,-0.0983
40.3500,-51.1396,-0.0983
41.3500,-51.1396,-0.0983
42.3500,-51.1396,-0.0983
43.3500,-51.1396,-0.0983
43.6500,-51.1396,-0.0983
44.5891,-51.0970,-0.0984
45.5165,-50.9673,-0.0985
46.4204,-50.7469,-0.0985
47.2853,-50.4308,-0.0985
48.0928,-50.0130,-0.0984
48.8228,-49.4889,-0.0983
49.4578,-48.8594,-0.0983
49.9876,-48.1341,-0.0984
50.4110,-47.3303,-0.0985
50.7324,-46.4679,-0.0985
50.9578,-45.5658,-0.0985
51.0923,-44.6393,-0.0984
51.1395,-43.7005,-0.0983
51.1396,-43.6500,-0.0983
51.1396,-42.6500,-0.0983
51.1396,-41.6500,-0.0983
51.1396,-40.6500,-0.0983
51.1396,-39.6500,-0.0983
51.1396,-38.6500,-0.0983
51.1396,-37.6500,-0.0983
51.1396,-36.6500,-0.0983
51.1396,-35.6500,-0.0983
51.1396,-34.6500,-0.0983
51.1396,-33.6500,-0.0983
51.1396,-32.6500,-0.0983
51.1396,-31.6500,-0.0983
51.1396,-30.6500,-0.0983
51.1396,-29.6500,-0.0983
51.1396,-28.6500,-0.0983
51.1396,-27.6500,-0.0983
51.1396,-26.6500,-0.0983
51.1396,-25.6500,-0.0983
51.1396,-24.6500,-0.0983
51.1396,-23.6500,-0.0983
51.1396,-22.6500,-0.0983
51.1396,-21.6500,-0.0983
51.1396,-20.6500,-0.0983
51.1396,-19.6500,-0.0983
51.1396,-18.6500,-0.0983
51.1396,-17.6500,-0.0983
51.1396,-16.6500,-0.0983
51.1396,-15.6500,-0.0983
51.1396,-14.6500,-0.0983
51.1396,-13.6500,-0.0983
51.1396,-12.6500,-0.0983
51.1396,-11.6500,-0.0983
51.1396,-10.6500,-0.0983
51.1396,-9.6500,-0.0983
51.1396,-8.6500,-0.0983
51.1396,-7.6500,-0.0983
51.1396,-6.6500,-0.0983
51.1396,-5.6500,-0.0983
51.1396,-4.6500,-0.0983
51.1396,-3.6500,-0.0983
51.1396,-2.6500,-0.0983
51.1396,-1.6500,-0.0983
51.1396,-0.6500,-0.0983
51.1396,0.3500,-0.0983
51.1396,0.3500,-0.0983
51.1312,1.3783,-0.0994
51.1228,2.4064,-0.1005
51.1144,3.4344,-0.1017
51.1060,4.4622,-0.1028
51.0977,5.4899,-0.1040
51.0893,6.5174,-0.1051
51.0809,7.5448,-0.1063
51.0725,8.5721,-0.1074
51.0641,9.5992,-0.1086
51.0557,10.6261,-0.1097
51.0473,11.6530,-0.1109
51.0389,12.6796,-0.1121
51.0305,13.7062,-0.1133
51.0222,14.7325,-0.1145
51.0138,15.7588,-0.1157
51.0054,16.7849,-0.1169
50.9970,17.8108,-0.1181
50.9887,18.8366,-0.1193
50.9803,19.8623,-0.1206
50.9719,20.8878,-0.1218
50.9636,21.9131,-0.1230
50.9552,22.9383,-0.1243
50.9468,23.9634,-0.1255
50.9385,24.9883,-0.1268
50.9301,26.0131,-0.1281
50.9217,27.0378,-0.1293
50.9134,28.0623,-0.1306
50.9050,29.0866,-0.1319
50.8967,30.1108,-0.1332
50.8883,31.1349,-0.1345
50.8800,32.1588,-0.1358
50.8716,33.1825,-0.1371
50.8633,34.2062,-0.1384
50.8549,35.2296,-0.1397
50.8466,36.2603,-0.1410
50.8382,37.2762,-0.1424
50.8299,38.2992,-0.1437
50.8216,39.3221,-0.1450
50.8132,40.3448,-0.1464
50.8049,41.3674,-0.1477
50.7966,42.3899,-0.1491
50.7882,43.4120,-0.1505
50.7388,44.3737,-0.1544
50.6164,45.3054,-0.1559
50.4039,46.2121,-0.1569
50.0953,47.0727,-0.1577
49.6743,47.8751,-0.1592
49.1469,48.5874,-0.1608
48.5114,49.1962,-0.1627
47.7778,49.6940,-0.1649
46.9635,50.0821,-0.1670
46.0898,50.3661,-0.1688
45.1769,50.5517,-0.1705
44.2419,50.6474,-0.1715
43.2667,50.6801,-0.1688
42.2394,50.6718,-0.1703
41.2121,50.6635,-0.1717
40.1851,50.6551,-0.1732
39.1581,50.6468,-0.1746
38.1313,50.6385,-0.1761
37.1047,50.6302,-0.1776
36.0782,50.6219,-0.1791
35.0518,50.6137,-0.1806
34.0257,50.6054,-0.1821
32.9996,50.5971,-0.1836
31.9737,50.5888,-0.1851
30.9479,50.5805,-0.1866
29.9223,50.5722,-0.1881
28.8968,50.5639,-0.1897
27.8715,50.5556,-0.1912
26.8463,50.5473,-0.1928
25.8212,50.5391,-0.1943
24.7963,50.5308,-0.1959
23.7716,50.5225,-0.1974
22.7470,50.5142,-0.1990
21.7225,50.5060,-0.2006
20.6982,50.4977,-0.2021
19.6740,50.4894,-0.2037
18.6500,50.4812,-0.2053
17.6261,50.4729,-0.2069
16.6024,50.4646,-0.2085
15.5788,50.4564,-0.2101
14.5607,50.4481,-0.2117
13.5320,50.4398,-0.2134
12.5089,50.4316,-0.2150
11.4859,50.4233,-0.2166
10.4630,50.4151,-0.2183
9.4403,50.4068,-0.2199
8.4177,50.3986,-0.2216
7.3953,50.3903,-0.2232
6.3730,50.3821,-0.2249
5.3509,50.3738,-0.2266
4.3289,50.3656,-0.2282
3.3070,50.3573,-0.2299
2.2853,50.3491,-0.2316
1.2638,50.3409,-0.2333
0.2423,50.3326,-0.2350
-0.7789,50.3244,-0.2367
-1.8000,50.3161,-0.2384
-2.8210,50.3079,-0.2401
-3.8418,50.2997,-0.2419
-4.8625,50.2915,-0.2436
-5.8830,50.2832,-0.2453
-6.9034,50.2750,-0.2471
-7.9237,50.2668,-0.2488
-8.9438,50.2586,-0.2506
-9.9637,50.2503,-0.2523
-10.9835,50.2421,-0.2541
-12.0032,50.2339,-0.2559
-13.0227,50.2257,-0.2576
-14.0421,50.2175,-0.2594
-15.0613,50.2093,-0.2612
-16.0804,50.2010,-0.2630
-17.0994,50.1928,-0.2648
-18.1181,50.1846,-0.2666
-19.1368,50.1764,-0.2684
-20.1553,50.1682,-0.2702
-21.1746,50.1600,-0.2721
-22.1919,50.1518,-0.2739
-23.2099,50.1436,-0.2757
-24.2279,50.1354,-0.2776
-25.2456,50.1272,-0.2794
-26.2633,50.1190,-0.2813
-27.2808,50.1109,-0.2832
-28.2981,50.1027,-0.2850
-29.3153,50.0945,-0.2869
-30.3323,50.0863,-0.2888
-31.3492,50.0781,-0.2907
-32.3660,50.0699,-0.2926
-33.3826,50.0617,-0.2944
-34.3991,50.0536,-0.2964
-35.4154,50.0454,-0.2983
-36.4316,50.0372,-0.3002
-37.4476,50.0290,-0.3021
-38.4635,50.0209,-0.3040
-39.4793,50.0127,-0.3060
-40.4949,50.0045,-0.3079
-41.5103,49.9963,-0.3098
-42.5255,49.9881,-0.3118
-43.5397,49.9641,-0.3176
-44.4483,49.8977,-0.3254
-45.3266,49.7686,-0.3273
-46.1705,49.5486,-0.3290
-46.9582,49.2352,-0.3303
-47.6674,48.8244,-0.3312
-48.2798,48.3113,-0.3325
-48.7867,47.6946,-0.3350
-49.1890,46.9820,-0.3381
-49.4916,46.1915,-0.3410
-49.6991,45.3452,-0.3434
-49.8173,44.4651,-0.3450
-49.8655,43.5567,-0.3419
-49.8740,42.5368,-0.3397
-49.8659,41.5166,-0.3418
-49.8578,40.4965,-0.3438
-49.8496,39.4766,-0.3459
-49.8415,38.4568,-0.3479
-49.8334,37.4372,-0.3500
-49.8252,36.4177,-0.3521
-49.8171,35.3983,-0.3542
-49.8090,34.3791,-0.3562
-49.8008,33.3601,-0.3583
-49.7927,32.3412,-0.3604
-49.7846,31.3224,-0.3625
-49.7765,30.3038,-0.3646
-49.7683,29.2853,-0.3667
-49.7602,28.2670,-0.3689
-49.7521,27.2488,-0.3710
-49.7440,26.2308,-0.3731
-49.7359,25.2129,-0.3753
-49.7278,24.1952,-0.3774
-49.7197,23.1775,-0.3795
-49.7115,22.1601,-0.3817
-49.7034,21.1428,-0.3839
-49.6953,20.1256,-0.3860
-49.6872,19.1086,-0.3882
-49.6791,18.0917,-0.3904
-49.6710,17.0750,-0.3926
-49.6629,16.0584,-0.3948
-49.6548,15.0420,-0.3969
-49.6467,14.0257,-0.3991
-49.6386,13.0095,-0.4014
-49.6306,11.9935,-0.4036
-49.6225,10.9777,-0.4058
-49.6144,9.9619,-0.4080
-49.6063,8.9464,-0.4103
-49.5982,7.9310,-0.4125
-49.5901,6.9157,-0.4147
-49.5820,5.9005,-0.4170
-49.5740,4.8856,-0.4192
-49.5659,3.8707,-0.4215
-49.5578,2.8560,-0.4238
-49.5497,1.8415,-0.4260
-49.5417,0.8271,-0.4283
-49.5336,-0.1872,-0.4306
-49.5255,-1.2013,-0.4329
-49.5174,-2.2153,-0.4352
-49.5094,-3.2291,-0.4375
-49.5013,-4.2428,-0.4398
-49.4933,-5.2563,-0.4421
-49.4852,-6.2673,-0.4444
-49.4771,-7.2830,-0.4468
-49.4691,-8.2961,-0.4491
-49.4610,-9.3090,-0.4514
-49.4530,-10.3218,-0.4538
-49.4449,-11.3345,-0.4561
-49.4369,-12.3470,-0.4585
-49.4288,-13.3594,-0.4609
-49.4208,-14.3716,-0.4632
-49.4127,-15.3837,-0.4656
-49.4047,-16.3956,-0.4680
-49.3966,-17.4074,-0.4704
-49.3886,-18.4191,-0.4728
-49.3806,-19.4306,-0.4752
-49.3725,-20.4419,-0.4776
-49.3645,-21.4531,-0.4800
-49.3565,-22.4642,-0.4824
-49.3484,-23.4751,-0.4848
-49.3404,-24.4859,-0.4873
-49.3324,-25.4965,-0.4897
-49.3243,-26.5070,-0.4921
-49.3163,-27.5174,-0.4946
-49.3083,-28.5275,-0.4970
-49.3003,-29.5376,-0.4995
-49.2922,-30.5475,-0.5020
-49.2842,-31.5573,-0.5044
-49.2762,-32.5669,-0.5069
-49.2682,-33.5763,-0.5094
-49.2602,-34.5857,-0.5119
-49.2522,-35.5948,-0.5144
-49.2442,-36.6039,-0.5169
-49.2361,-37.6128,-0.5194
-49.2281,-38.6215,-0.5219
-49.2201,-39.6301,-0.5244
-49.2121,-40.6386,-0.5269
-49.2041,-41.6482,-0.5295
-49.1958,-42.6548,-0.5321
-49.1649,-43.6617,-0.5420
-49.0957,-44.5087,-0.5504
-48.9595,-45.3324,-0.5527
-48.7361,-46.1089,-0.5547
-48.4261,-46.8122,-0.5557
-48.0274,-47.4210,-0.5564
-47.5336,-47.9269,-0.5584
-46.9385,-48.3339,-0.5620
-46.2469,-48.6491,-0.5659
-45.4781,-48.8756,-0.5690
-44.6553,-49.0147,-0.5714
-43.8101,-49.0757,-0.5705
-42.8263,-49.0923,-0.5655
-41.8131,-49.0843,-0.5681
-40.8000,-49.0763,-0.5708
-39.7871,-49.0684,-0.5734
-38.7743,-49.0604,-0.5760
-37.7617,-49.0524,-0.5787
-36.7492,-49.0444,-0.5813
-35.7369,-49.0365,-0.5840
-34.7247,-49.0285,-0.5866
-33.7126,-49.0206,-0.5893
-32.7007,-49.0126,-0.5920
-31.6889,-49.0046,-0.5947
-30.6773,-48.9967,-0.5973
-29.6658,-48.9887,-0.6000
-28.6545,-48.9808,-0.6027
-27.6433,-48.9728,-0.6054
-26.6323,-48.9649,-0.6081
-25.6214,-48.9569,-0.6109
-24.6107,-48.9490,-0.6136
-23.6001,-48.9410,-0.6163
-22.5896,-48.9331,-0.6190
-21.5793,-48.9251,-0.6218
-20.5691,-48.9172,-0.6245
-19.5591,-48.9093,-0.6273
-18.5493,-48.9013,-0.6300
-17.5395,-48.8934,-0.6328
-16.5299,-48.8854,-0.6356
-15.5205,-48.8775,-0.6384
-14.5112,-48.8696,-0.6411
-13.5021,-48.8617,-0.6439
-12.4931,-48.8537,-0.6467
-11.4842,-48.8458,-0.6495
-10.4755,-48.8379,-0.6523
-9.4669,-48.8300,-0.6551
-8.4585,-48.8220,-0.6579
-7.4502,-48.8141,-0.6608
-6.4421,-48.8062,-0.6636
-5.4341,-48.7983,-0.6664
-4.4263,-48.7904,-0.6693
-3.4186,-48.7825,-0.6721
-2.4110,-48.7746,-0.6750
-1.4036,-48.7666,-0.6778
-0.3963,-48.7587,-0.6807
0.6108,-48.7508,-0.6836
1.6177,-48.7429,-0.6865
2.6246,-48.7350,-0.6893
3.6313,-48.7271,-0.6922
4.6378,-48.7192,-0.6951
5.6442,-48.7113,-0.6980
6.6504,-48.7034,-0.7009
7.6565,-48.6955,-0.7038
8.6625,-48.6877,-0.7068
9.6683,-48.6798,-0.7097
10.6739,-48.6719,-0.7126
11.6794,-48.6640,-0.7156
12.6848,-48.6561,-0.7185
13.6901,-48.6482,-0.7215
14.6951,-48.6403,-0.7244
15.7001,-48.6325,-0.7274
16.7049,-48.6246,-0.7303
17.7095,-48.6167,-0.7333
18.7140,-48.6088,-0.7363
19.7184,-48.6010,-0.7393
20.7226,-48.5931,-0.7423
21.7267,-48.5852,-0.7453
22.7306,-48.5774,-0.7483
23.7343,-48.5695,-0.7513
24.7380,-48.5616,-0.7543
25.7415,-48.5538,-0.7573
26.7443,-48.5459,-0.7604
27.7480,-48.5380,-0.7634
28.7510,-48.5302,-0.7664
29.7539,-48.5223,-0.7695
30.7567,-48.5145,-0.7725
31.7593,-48.5066,-0.7756
32.7618,-48.4988,-0.7787
33.7641,-48.4909,-0.7817
34.7663,-48.4831,-0.7848
35.7683,-48.4752,-0.7879
36.7702,-48.4674,-0.7910
37.7719,-48.4596,-0.7941
38.7735,-48.4517,-0.7972
39.7750,-48.4439,-0.8003
40.7763,-48.4360,-0.8034
41.7774,-48.4282,-0.8065
42.7784,-48.4183,-0.8105
43.7784,-48.3960,-0.8191
44.5560,-48.3340,-0.8233
45.3220,-48.1896,-0.8271
46.0229,-47.9644,-0.8298
46.6294,-47.6635,-0.8307
47.1270,-47.2854,-0.8321
47.5245,-46.8163,-0.8362
47.8389,-46.2419,-0.8418
48.0771,-45.5674,-0.8459
48.2359,-44.8177,-0.8484
48.3100,-44.0236,-0.8508
48.3221,-43.1076,-0.8494
48.3187,-42.1014,-0.8508
48.3109,-41.0954,-0.8540
48.3031,-40.0894,-0.8572
48.2953,-39.0837,-0.8605
48.2875,-38.0780,-0.8637
48.2797,-37.0725,-0.8669
48.2719,-36.0672,-0.8702
48.2641,-35.0620,-0.8734
48.2563,-34.0569,-0.8767
48.2485,-33.0521,-0.8799
48.2407,-32.0473,-0.8832
48.2329,-31.0427,-0.8865
48.2251,-30.0382,-0.8897
48.2173,-29.0339,-0.8930
48.2095,-28.0297,-0.8963
48.2017,-27.0257,-0.8996
48.1940,-26.0218,-0.9029
48.1862,-25.0180,-0.9062
48.1784,-24.0144,-0.9095
48.1706,-23.0110,-0.9128
48.1628,-22.0077,-0.9162
48.1551,-21.0045,-0.9195
48.1473,-20.0015,-0.9228
48.1395,-18.9986,-0.9262
48.1318,-17.9959,-0.9295
48.1240,-16.9933,-0.9329
48.1162,-15.9908,-0.9363
48.1085,-14.9886,-0.9396
48.1007,-13.9864,-0.9430
48.0929,-12.9844,-0.9464
48.0852,-11.9826,-0.9498
48.0774,-10.9808,-0.9532
48.0697,-9.9793,-0.9566
48.0619,-8.9779,-0.9600
48.0542,-7.9766,-0.9634
48.0464,-6.9755,-0.9668
48.0387,-5.9745,-0.9702
48.0309,-4.9736,-0.9737
48.0232,-3.9729,-0.9771
48.0154,-2.9724,-0.9805
48.0077,-1.9720,-0.9840
48.0000,-0.9717,-0.9874
47.9922,0.0284,-0.9909
47.9897,0.3500,-0.9920
47.9897,0.3500,-0.9920
47.9853,1.3648,-0.9940
47.9809,2.3795,-0.9960
47.9765,3.3941,-0.9979
47.9721,4.4087,-0.9999
47.9677,5.4232,-1.0019
47.9633,6.4376,-1.0039
47.9589,7.4519,-1.0059
47.9544,8.4661,-1.0079
47.9500,9.4803,-1.0099
47.9456,10.4944,-1.0119
47.9412,11.5084,-1.0139
47.9368,12.5224,-1.0159
47.9324,13.5362,-1.0179
47.9280,14.5500,-1.0199
47.9236,15.5637,-1.0219
47.9192,16.5774,-1.0239
47.9148,17.5909,-1.0259
47.9104,18.6044,-1.0279
47.9060,19.6178,-1.0299
