X,Y,Z
-59.2076,-4.3712,-0.0983
-59.1265,-5.3569,-0.0983
-59.0295,-6.3412,-0.0983
-58.9153,-7.3236,-0.0983
-58.7851,-8.3040,-0.0983
-58.6390,-9.2822,-0.0983
-58.4758,-10.2577,-0.0983
-58.2969,-11.2304,-0.0983
-58.1020,-12.2001,-0.0983
-57.8903,-13.1662,-0.0983
-57.6631,-14.1288,-0.0983
-57.4199,-15.0875,-0.0983
-57.1603,-16.0419,-0.0983
-56.8853,-16.9919,-0.0983
-56.5944,-17.9372,-0.0983
-56.2875,-18.8774,-0.0983
-55.9654,-19.8126,-0.0983
-55.6276,-20.7421,-0.0983
-55.2741,-21.6659,-0.0983
-54.9058,-22.5838,-0.0983
-54.5218,-23.4952,-0.0983
-54.1227,-24.4002,-0.0983
-53.7091,-25.2986,-0.0983
-53.2799,-26.1897,-0.0983
-52.8362,-27.0736,-0.0983
-52.3783,-27.9502,-0.0983
-51.9050,-28.8187,-0.0983
-51.4177,-29.6794,-0.0983
-50.9165,-30.5320,-0.0983
-50.4004,-31.3757,-0.0983
-49.8708,-32.2110,-0.0983
-49.3275,-33.0375,-0.0983
-48.7700,-33.8544,-0.0983
-48.1994,-34.6623,-0.0983
-47.6154,-35.4605,-0.0983
-47.0178,-36.2486,-0.0983
-46.4076,-37.0270,-0.0983
-45.7844,-37.7949,-0.0983
-45.1482,-38.5522,-0.0983
-44.4999,-39.2992,-0.0983
-43.8390,-40.0350,-0.0983
-43.1659,-40.7596,-0.0983
-42.4811,-41.4733,-0.0983
-41.7842,-42.1750,-0.0983
-41.0757,-42.8652,-0.0983
-40.3562,-43.5438,-0.0983
-39.6250,-44.2098,-0.0983
-38.8830,-44.8638,-0.0983
-38.1305,-45.5056,-0.0983
-37.3669,-46.1341,-0.0983
-36.5932,-46.7503,-0.0983
-35.8095,-47.3536,-0.0983
-35.0154,-47.9433,-0.0983
-34.2120,-48.5200,-0.0983
-33.3991,-49.0834,-0.0983
-32.5766,-49.6327,-0.0983
-31.7453,-50.1687,-0.0983
-30.9052,-50.6906,-0.0983
-30.0564,-51.1982,-0.0983
-29.1994,-51.6920,-0.0983
-28.3342,-52.1712,-0.0983
-27.4611,-52.6358,-0.0983
-26.5806,-53.0863,-0.0983
-25.6924,-53.5215,-0.0983
-24.7972,-53.9420,-0.0983
-23.8954,-54.3480,-0.0983
-22.9865,-54.7382,-0.0983
-22.0715,-55.1135,-0.0983
-21.1504,-55.4739,-0.0983
-20.2232,-55.8181,-0.0983
-19.2906,-56.1473,-0.0983
-18.3526,-56.4612,-0.0983
-17.4094,-56.7587,-0.0983
-16.4615,-57.0410,-0.0983
-15.5090,-57.3075,-0.0983
-14.5521,-57.5576,-0.0983
-13.5913,-57.7922,-0.0983
-12.6267,-58.0106,-0.0983
-11.6585,-58.2127,-0.0983
-10.6872,-58.3991,-0.0983
-9.7128,-58.5689,-0.0983
-8.7358,-58.7224,-0.0983
-7.7564,-58.8602,-0.0983
-6.7747,-58.9810,-0.0983
-5.7912,-59.0856,-0.0983
-4.8062,-59.1743,-0.0983
-3.8197,-59.2457,-0.0983
-2.8322,-59.3012,-0.0983
-1.8440,-59.3405,-0.0983
-0.8552,-59.3625,-0.0983
0.1339,-59.3687,-0.0983
1.1229,-59.3584,-0.0983
2.1115,-59.3311,-0.0983
3.0996,-59.2879,-0.0983
4.0869,-59.2281,-0.0983
5.0729,-59.1515,-0.0983
6.0576,-59.0591,-0.0983
7.0406,-58.9499,-0.0983
8.0217,-58.8243,-0.0983
9.0006,-58.6829,-0.0983
9.9768,-58.5244,-0.0983
10.9504,-58.3501,-0.0983
11.9210,-58.1600,-0.0983
12.8881,-57.9529,-0.0983
13.8518,-57.7302,-0.0983
14.8116,-57.4917,-0.0983
15.7672,-57.2366,-0.0983
16.7186,-56.9662,-0.0983
17.6653,-56.6799,-0.0983
18.6069,-56.3775,-0.0983
19.5436,-56.0599,-0.0983
20.4748,-55.7265,-0.0983
21.4002,-55.3775,-0.0983
22.3199,-55.0137,-0.0983
23.2331,-54.6340,-0.0983
24.1400,-54.2393,-0.0983
25.0404,-53.8301,-0.0983
25.9335,-53.4050,-0.0983
26.8196,-52.9656,-0.0983
27.6984,-52.5118,-0.0983
28.5691,-52.0427,-0.0983
29.4322,-51.5597,-0.0983
30.2871,-51.0624,-0.0983
31.1334,-50.5505,-0.0983
31.9713,-50.0250,-0.0983
32.8002,-49.4854,-0.0983
33.6199,-48.9320,-0.0983
34.4306,-48.3655,-0.0983
35.2313,-47.7850,-0.0983
36.0224,-47.1914,-0.0983
36.8039,-46.5851,-0.0983
37.5745,-45.9652,-0.0983
38.3351,-45.3329,-0.0983
39.0852,-44.6882,-0.0983
39.8239,-44.0306,-0.0983
40.5520,-43.3612,-0.0983
41.2688,-42.6797,-0.0983
41.9739,-41.9861,-0.0983
42.6676,-41.2812,-0.0983
43.3494,-40.5647,-0.0983
44.0190,-39.8368,-0.0983
44.6767,-39.0982,-0.0983
45.3217,-38.3484,-0.0983
45.9542,-37.5880,-0.0983
46.5743,-36.8174,-0.0983
47.1809,-36.0363,-0.0983
47.7746,-35.2453,-0.0983
48.3555,-34.4448,-0.0983
48.9222,-33.6342,-0.0983
49.4758,-32.8146,-0.0983
50.0158,-31.9860,-0.0983
50.5414,-31.1481,-0.0983
51.0534,-30.3019,-0.0983
51.5513,-29.4473,-0.0983
52.0344,-28.5843,-0.0983
52.5035,-27.7136,-0.0983
52.9580,-26.8351,-0.0983
53.3974,-25.9491,-0.0983
53.8225,-25.0561,-0.0983
54.2324,-24.1560,-0.0983
54.6271,-23.2491,-0.0983
55.0071,-22.3359,-0.0983
55.3714,-21.4164,-0.0983
55.7204,-20.4910,-0.0983
56.0543,-19.5600,-0.0983
56.3722,-18.6235,-0.0983
56.6745,-17.6817,-0.0983
56.9615,-16.7353,-0.0983
57.2322,-15.7840,-0.0983
57.4870,-14.8283,-0.0983
57.7264,-13.8687,-0.0983
57.9492,-12.9051,-0.0983
58.1561,-11.9379,-0.0983
58.3472,-10.9675,-0.0983
58.5216,-9.9940,-0.0983
58.6798,-9.0176,-0.0983
58.8222,-8.0389,-0.0983
58.9478,-7.0579,-0.0983
59.0570,-6.0749,-0.0983
59.1503,-5.0902,-0.0983
59.2269,-4.1042,-0.0983
59.2868,-3.1169,-0.0983
59.3307,-2.1289,-0.0983
59.3581,-1.1402,-0.0983
59.3685,-0.1512,-0.0983
59.3692,-0.0000,-0.0983
59.3692,-0.0000,-0.0983
59.3496,1.0223,-0.0997
59.3128,2.0440,-0.1011
59.2588,3.0647,-0.1025
59.1867,4.0841,-0.1039
59.0974,5.1020,-0.1053
58.9908,6.1181,-0.1067
58.8664,7.1319,-0.1081
58.7248,8.1433,-0.1095
58.5660,9.1520,-0.1109
58.3897,10.1576,-0.1124
58.1962,11.1598,-0.1138
57.9857,12.1584,-0.1152
57.7579,13.1531,-0.1167
57.5131,14.1435,-0.1181
57.2515,15.1295,-0.1195
56.9729,16.1106,-0.1210
56.6776,17.0866,-0.1224
56.3657,18.0572,-0.1239
56.0369,19.0222,-0.1254
55.6919,19.9812,-0.1268
55.3305,20.9340,-0.1283
54.9527,21.8802,-0.1298
54.5589,22.8198,-0.1312
