contactPntX,contactPntY,contactPntZ,normalX,normalY,normalZ,maxCurvature,maxCurvDirectionX,maxCurvDirectionY,maxCurvDirectionZ,minCurvature,minCurvDirectionX,minCurvDirectionY,minCurvDirectionZ,meanCurvature,GaussianCurvature,endOfRevolution(T/F)
43.6495,27.8852,-0.0550,-0.1107,-0.0707,0.9913,0.1575,0.8354,0.5337,0.1313,-0.0025,-0.5384,0.8427,0.0000,0.0775,-0.0004,0
43.1030,28.7226,-0.0550,-0.1093,-0.0728,0.9913,0.1575,0.8250,0.5497,0.1313,-0.0025,-0.5545,0.8322,0.0000,0.0775,-0.0004,0
42.5405,29.5494,-0.0550,-0.1079,-0.0749,0.9913,0.1575,0.8142,0.5656,0.1313,-0.0025,-0.5705,0.8213,0.0000,0.0775,-0.0004,0
41.9621,30.3651,-0.0550,-0.1064,-0.0770,0.9913,0.1575,0.8031,0.5812,0.1313,-0.0025,-0.5862,0.8101,0.0000,0.0775,-0.0004,0
41.3681,31.1695,-0.0550,-0.1049,-0.0790,0.9913,0.1575,0.7918,0.5966,0.1313,-0.0025,-0.6018,0.7987,0.0000,0.0775,-0.0004,0
40.7586,31.9624,-0.0550,-0.1033,-0.0810,0.9913,0.1575,0.7801,0.6117,0.1313,-0.0025,-0.6171,0.7869,0.0000,0.0775,-0.0004,0
40.1340,32.7433,-0.0550,-0.1018,-0.0830,0.9913,0.1575,0.7681,0.6267,0.1313,-0.0025,-0.6322,0.7748,0.0000,0.0775,-0.0004,0
39.4944,33.5119,-0.0550,-0.1001,-0.0850,0.9913,0.1575,0.7559,0.6414,0.1313,-0.0025,-0.6470,0.7625,0.0000,0.0775,-0.0004,0
38.8401,34.2681,-0.0550,-0.0985,-0.0869,0.9913,0.1575,0.7434,0.6559,0.1313,-0.0025,-0.6616,0.7499,0.0000,0.0775,-0.0004,0
38.1713,35.0116,-0.0550,-0.0968,-0.0888,0.9913,0.1575,0.7306,0.6701,0.1313,-0.0025,-0.6759,0.7369,0.0000,0.0775,-0.0004,0
37.4883,35.7420,-0.0550,-0.0951,-0.0906,0.9913,0.1575,0.7175,0.6841,0.1313,-0.0025,-0.6900,0.7238,0.0000,0.0775,-0.0004,0
36.7913,36.4590,-0.0550,-0.0933,-0.0924,0.9913,0.1575,0.7042,0.6978,0.1313,-0.0025,-0.7039,0.7103,0.0000,0.0775,-0.0004,0
36.0806,37.1625,-0.0550,-0.0915,-0.0942,0.9913,0.1575,0.6906,0.7113,0.1313,-0.0025,-0.7175,0.6966,0.0000,0.0775,-0.0004,0
35.3564,37.8521,-0.0550,-0.0896,-0.0960,0.9913,0.1575,0.6767,0.7245,0.1313,-0.0025,-0.7308,0.6826,0.0000,0.0775,-0.0004,0
34.6191,38.5276,-0.0550,-0.0878,-0.0977,0.9913,0.1575,0.6626,0.7374,0.1313,-0.0025,-0.7438,0.6684,0.0000,0.0775,-0.0004,0
33.8688,39.1888,-0.0550,-0.0859,-0.0994,0.9913,0.1575,0.6482,0.7500,0.1313,-0.0025,-0.7566,0.6539,0.0000,0.0775,-0.0004,0
